asof_dt,ticker,close
2022-01-03,T000,108.45262851900178
2022-01-03,T001,97.67031314729584
2022-01-03,T002,100.16410081839292
2022-01-03,T003,102.03758141498254
2022-01-03,T004,96.05538485687131
2022-01-03,T005,100.01032786452974
2022-01-03,T006,99.99554807071034
2022-01-03,T007,91.2263784682729
2022-01-03,T008,105.08829002831746
2022-01-03,T009,103.00249257959774
2022-01-03,T010,96.8728551301662
2022-01-03,T011,99.1422586940214
2022-01-03,T012,102.52649687098376
2022-01-03,T013,98.69321792404176
2022-01-03,T014,98.78625460663727
2022-01-03,T015,92.73379293754604
2022-01-03,T016,102.77290155945944
2022-01-03,T017,100.61940452643519
2022-01-03,T018,101.37229961879981
2022-01-03,T019,92.3673773406508
2022-01-03,T020,108.25349845593237
2022-01-03,T021,100.77167767728179
2022-01-03,T022,98.06430028356806
2022-01-03,T023,110.14536110380556
2022-01-03,T024,99.77306985069677
2022-01-03,T025,92.74660650426712
2022-01-03,T026,97.97386072286156
2022-01-03,T027,88.55842449014139
2022-01-03,T028,105.24698274671627
2022-01-03,T029,97.9176284073999
2022-01-03,T030,96.28723237397716
2022-01-03,T031,105.36235065787747
2022-01-03,T032,91.74462205297081
2022-01-03,T033,102.67714678163046
2022-01-03,T034,89.67792598439412
2022-01-03,T035,96.68920330166596
2022-01-03,T036,93.97890077200134
2022-01-03,T037,107.30987813606762
2022-01-03,T038,108.83080438964667
2022-01-03,T039,98.35293124043467
2022-01-04,T000,109.58491643990496
2022-01-04,T001,98.77651323852139
2022-01-04,T002,101.05301696599085
2022-01-04,T003,102.25783390537575
2022-01-04,T004,96.06530478848417
2022-01-04,T005,99.5509867609371
2022-01-04,T006,102.03209328228792
2022-01-04,T007,91.99886636434508
2022-01-04,T008,107.08122406136991
2022-01-04,T009,104.10000518390979
2022-01-04,T010,95.80760967648938
2022-01-04,T011,100.06580965701588
2022-01-04,T012,104.91989528353795
2022-01-04,T013,98.65848616037013
2022-01-04,T014,98.22312038487016
2022-01-04,T015,92.53170548576607
2022-01-04,T016,103.2713449388161
2022-01-04,T017,101.2647401523497
2022-01-04,T018,100.8891285867376
2022-01-04,T019,95.0755685386415
2022-01-04,T020,108.82085729917496
2022-01-04,T021,101.92027344067186
2022-01-04,T022,100.09729247850994
2022-01-04,T023,112.18475753909676
2022-01-04,T024,99.87989755263033
2022-01-04,T025,93.95940195162856
2022-01-04,T026,100.19790492676405
2022-01-04,T027,89.22146253982895
2022-01-04,T028,104.1159344730019
2022-01-04,T029,99.9631713405443
2022-01-04,T030,97.92516449561992
2022-01-04,T031,106.88657976346705
2022-01-04,T032,91.47978966590841
2022-01-04,T033,102.83342567952474
2022-01-04,T034,89.43492913919533
2022-01-04,T035,97.34278224831098
2022-01-04,T036,96.64028639727678
2022-01-04,T037,109.9616515575915
2022-01-04,T038,110.3248010771912
2022-01-04,T039,100.30335250367652
2022-01-05,T000,110.77336708006585
2022-01-05,T001,98.01673249132219
2022-01-05,T002,102.0442163307301
2022-01-05,T003,102.3707229586447
2022-01-05,T004,98.75641506639066
2022-01-05,T005,100.66016869583926
2022-01-05,T006,104.39079360120701
2022-01-05,T007,92.08803553052522
2022-01-05,T008,107.24109432171956
2022-01-05,T009,105.25421237445
2022-01-05,T010,97.4831934006375
2022-01-05,T011,101.30643801306728
2022-01-05,T012,104.14454931228516
2022-01-05,T013,99.50968144486733
2022-01-05,T014,99.59515772702598
2022-01-05,T015,93.02052475719944
2022-01-05,T016,103.21546335756729
2022-01-05,T017,103.59649064943962
2022-01-05,T018,100.93644105884789
2022-01-05,T019,95.04040717595635
2022-01-05,T020,110.26824996870862
2022-01-05,T021,102.74027598524357
2022-01-05,T022,100.51642143013773
2022-01-05,T023,113.82396819533808
2022-01-05,T024,101.74089825902622
2022-01-05,T025,95.1992251898066
2022-01-05,T026,101.75918303710398
2022-01-05,T027,89.96975172008358
2022-01-05,T028,103.92890065307371
2022-01-05,T029,100.40966470849733
2022-01-05,T030,98.0935801088316
2022-01-05,T031,107.83108517192179
